,Unnamed: 0,News,Original Label,Prediction
2,2,"[CLS] O Trio Parada Dura vai cantar na cadeia de Curitiba! A Lava - Jato descobriu tudo!. O documento que vai acabar de vez com a farsa de Lula!. O ex - presidente tinha uma conta corrente no Setor de Operações Estruturadas da Odebrecht [... ] leia - se SETOR DE PROPINAS. Um documento de nome "" Posição Programa Especial Italiano "" está em poder dos investigadores da Lava Jato e mostra o saldo que o Trio Parada Dura tinha a receber da Odebrecht : "" Italiano "", também conhecido como Antonio [SEP]",0,0
4,4,"[CLS] Rússia e Irã ameaçam os EUA : "" Se as linhas da Síria forem cruzadas novamente, responderemos com força "".. "" A América agrediu a Síria e ultrapassou as linhas vermelhas. De agora em diante, responderemos com força a qualquer agressor que ultrapassar esses limites, quer sejam os EUA ou não. "" informou a central de comando Rússia / Irã. Na última sexta - feira, Donald Trump disse que, ao ordenar o ataque de 59 misseis tomahawk à base militar na Síria, estava "" representando o mundo "". O secretário de Defesa do Reino Unido, Michael Fallon, exigiu que a [SEP]",0,0
5,5,"[CLS] Síndrome respiratória MERS provoca pânico na Coréia do Sul. Um único paciente infectou 82 pessoas. A síndrome se espalhou - se para 82 pessoas em três dias, a partir de um único paciente atendido. O paciente em questão regressava de uma viagem a países do Golfo, entre eles a Arábia Saudita. A síndrome respiratória Mers é provocada por uma variante do coronavírus, que provoca uma infecção dos pulmões. Os afetados apresentam febre, tosse e têm dificuldades respiratórias. Aproximadamente de 30 % a 40 % dos pacientes infectados morrem, de acordo com [SEP]",0,0
10,10,"[CLS] Lula debocha, chama procuradora de "" querida "" e leva um "" fumo "" histórico.. Em primeiro lugar, gostaríamos de destacar a educação e o comportamento da procuradora, que se refere a Lula como senhor ex - presidente. Já Lula, com aquela educação de berço e sarcasmo que lhe é peculiar, faz deboche quando se refere a terceiros. confira : [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]",0,0
11,11,"[CLS] Vendedor perde 7 dentes e sofre queimaduras de 2o grau ao fumar cigarro eletrônico. O dispositivo explodiu.. ( Daily Mail ) Um vendedor de 30 anos, morador do estado de Idaho, EUA, perdeu sete dentes e ficou com várias queimaduras no rosto após um cigarro eletrônico explodir enquanto ele fumava. Andrew Hall se preparava para trabalhar quando o dispositivo explodiu de repente. A boca de Andrew explodiu literalmente e seus dentes foram lançados para fora. O impacto foi tão grande que a fumaça se espalhou pela casa toda, chegando inclusive a quebrar a pia do [SEP]",0,0
12,12,"[CLS] A deselegância de Zezé : "" Passar a mulher da gente pra trás é fácil, difícil é passar para frente "".. Em uma entrevista exibida no programa de Danilo Gentili, o sertanejo soltou mais uma : "" Passar a mulher da gente pra trás é fácil, difícil é passar para frente "". Calma Zezé! Dinheiro não é tudo. Essa sua deselegância só demonstra uma coisa : insegurança total! leia também : [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]",0,0
13,13,"[CLS] Roberto Carlos arma : "" O lugar de Lula é naPresidência do Brasil, é inaceitavel o que estáacontecendo "". Nas ultimas semanas do "" Programa do Jô "" o convidado especial foi o "" Rei "" RobertoCarlos, em que protagonizou uma cena que para a nossa Democracia não tenha sidomuito agradável. Jô Soares pergunta a Roberto Carlos sobre oque ele esta achando do nosso Brasil, Roberto Carlos sem se exitar logo responde : "" Sinto uma grande insatisfação, com essas coisas absurdas que estão acontecendo noBrasil. Não entendo de política para saber se o processo [SEP]",0,0
15,15,"[CLS] Anonymous alerta o governo : "" Não se atrevam a mexer na internet ou iremos mostrar quem manda "". O grupo hacker Anonymous, através do Facebook, mandou seu recado aos governantes do Brasil. Sobre as declarações do ministro Gilberto Kassab ( Ciência e Tecnologia ), que confirmou o fim da internet ilimitada no país, o grupo avisou : "" Acabou a novela. Ministro diz que haverá, sim, limite na internet fixa no Brasil. Chegou a hora da internet dizer aos novos governantes quem é que manda nessa porra! Não se atrevam. [SEP]",0,0
17,17,"[CLS] Cinegrafista da Globo defende Waack : "" Os verdadeiros racistas são discretos e não fazem piadas "".. Depois da polêmica envolvendo o apresentador do Jornal da Globo, William Waack, em um suposto caso de "" racismo "", um cinegrafista ( que trabalha na TV Globo há 30 anos ) decidiu publicar um relato nas redes sociais. Gil Moura, que acompanhou Waack durante muitos anos, defendeu arduamente o colega : "" Eu sou "" preto "". Já trabalhei com ele [ William ] na França, em Portugal, na Espanha, na Índia e em São Paulo. O velho Wa [SEP]",0,0
20,20,"[CLS] 4. 500 objetos de valor sumiram do Planalto. Auditoria do TCU aponta que Lula e Dilma burlaram a regra. Aproximadamente 4. 500 itens que fazem parte do patrimônio da Presidência da República sumiram. A informação é da colunista Talita Abrantes, da revista Exame Entre os objetos estão : A faixa presidencial usada na posse de novos presidentes, computadores, equipamentos de segurança, uma coleção de prataria palaciana, tapetes persas, j ogos de porcelana chinesa, obras de arte de pintores brasileiros, entre outros. Na residência oficial da presidência, 391 itens desapareceram. [SEP]",0,0
21,21,"[CLS] A vaquinha da Dilma pode ir pro brejo! Líder do DEM diz que PF deve investigar arrecadação no site. Após o início da vaquinha virtual para bancar o "" turismo sem noção "" de Dilma, o líder do DEM fez um alerta. Pauderney Avelino levantou a possibilidade de se fazer doações via boleto bancário na "" vaca virtual da Dilma "" com qualquer número de CPF. Basta colocar um número qualquer de CPF ou CNPJ ( que pode ser encontrado facilmente nos sites de busca ) para que um boleto seja gerado. O boleto pode ser [SEP]",0,0
23,23,"[CLS] Cantor Elton John é internado em UTI com infecção rara e "" potencialmente mortal "".. A lenda mundial da música, que recentemente completou 70 anos, contraiu uma infecção desconhecida durante uma turnê pela América do Sul De acordo com tabloides britânicos, Sir Elton John ( como é chamado na Inglaterra ) passou dois dias na UTI em estado grave. O cantor agora se recupera em casa, mas seu estado ainda inspira cuidados. Uma nota foi publicada pela assessoria do artista : "" Lamentamos informar que, por razões médicas, Elton John está cancelando todas as suas apresentações marcadas para o mês de [SEP]",0,0
25,25,"[CLS] Explosão nuclear? Terremoto sacode a Coreia do Norte e atinge 3, 4 na escala Richter.. O primeiro tremor foi sentido próximo à capital Pyongyang, onde o ditador Kim Jong - un e seus aliados mais próximos vivem. Medindo 2. 6 na escala Richter, o terremoto poderia ser uma indicação de mais um teste de mísseis apesar da condenação mundial. O epicentro ocorreu sentido sudoeste da capital local que não ainda não havia sido usado para lançamento de mísseis. Um segundo tremor atingiu, depois de algumas horas, o mesmo local e mediu 3, 4 na escala [SEP]",0,0
31,31,"[CLS] Marcelo Odebrecht confirma que Lula era o "" AMIGO "" nas planilhas : "" AMIGO foi beneficiário de R $ 8 milhões "". Marcelo Odebrecht confirmou à Lava Jato que o "" amigo "" das planilhas é o ex - presidente Luiz Inácio, conforme apontaram laudos da PF. Odebrecht não apenas confirmou a identidade de Lula, como descreve a amizade entre o pai, Emílio, e o petista. Ele confessa que a relação entre o governo e a empreiteira nem sempre foi benéfica ao grupo empresarial, uma vez que o pai teria sido muito conde [SEP]",0,0
32,32,"[CLS] "" Se algum juiz ameaçar prender Lula, nós vamos pra cima! "". Visando concorrer ao cargo de presidente da república nas próximas eleições, o líder do grupo MTST decidiu partir pra cima do Judiciário. Ao lado do ex - presidente condenado, Boulos chamou Sergio Moro de "" xerifinho safado de Curitiba "" e os disse que os desembargadores do TRF - 4 de são "" anões morais e anões jurídicos "". Para terminar o discurso de ódio, Boulos gritou no microfone : "" Não vão prender Lula po # % a nenhuma... nós vamos para [SEP]",0,0
