,Unnamed: 0,News,Original Label,Prediction
26,26,[CLS] * Taí mas fácil do que isso aí impossível * Nesse site vc ver 5 vídeos curtos e ganha mais de 2 dólar por dia isso mesmo por dia * Para retirar o dinheiro * Ai vc pode retirar apartir de 80 dolar mais de 400 reais faz ai a soma dar menos de 40 dias Entra logo Obs... ANTES DE FALAR QUE É VIRUS ENTRA E VER https : / / wintub. com /? r = 119929 [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],1,0
40,40,[CLS] População mundial. 7. 773. 200. 000Morrem / Dia. 159. 800Nascem / Dia. 380. 717Crescimento Populacional DIA / 220. 880Mortes por doenças transmissíveis / Dia 35. 270Mortes por cãncer / Dia 22. 320Mortes por fumo / Dia. 13. 570Mortes por álcool / Dia 6. 797Mortes por HIV / Dia 4. 568Mortes por Acidente Transito / Dia. 3. 668Mortes por suicídio / Dia. 2. [SEP],1,0
61,61,"[CLS] Vejam as estatísticas de óbitos por gripe ou pneumonia no Brasil em 2018, por UF e por mês ; * dados SUS. * * Em 2018 - número de óbitos por gripe / pneumonia * Brasil - 81. 440 ( 6. 787 / mes ) SP - 24. 007RJ - 9. 802MG - 8. 643CE - 4. 381RS - 4. 405Esta informação deveria ser amplamente divulgada pela mídia, até para comparação com os dados do Covid, e dosar o nível de alarme para um padrão referência pertinente, ao acompanhar os fatos [SEP]",1,0
62,62,"[CLS] Prezados, estou aguardando alguma explicação jurídica perfeita para o segunte : Ocorre que ; infelizmente, não consegui, terminar na UNIP, o curso de Direito, entretanto, não acredito que haja algum juiz, advogado ou jurista, que consiga me contestar, com propriedades sólidas, sobre o meu entendimento referente aos dois artigos da "" CF "", a seguir : Art. 1° Segundo o parágrafo único deste artigo, o nosso Presidente da República, eleito democraticamente, está autorizado com todo o poder emanado pelo seu povo, a atuar para o bem da nação, correto? Art. 14 [SEP]",1,0
64,64,"[CLS] Quando a ação é contra o Governo Federal, o Lex Luthor do STF dá decisão rapidinho!!! Ministério da Saúde deve restabelecer divulgação integral de dados sobre Covid - 19. https : / / portalnovonorte. com. br /? p = 26529 & amp = 1 [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]",1,0
68,68,"[CLS] Fonte : * Dados da Universidade de Hamburgo O número de mortes no mundo nos primeiros dois meses de 2020 * * 2. 360 : * Coronavírus * 69. 602 : * Resfriado comum * 140. 584 : * Malária * 153. 696 : * Suicídio * 193, 479 : * Acidentes de carro / ônibus * 240. 950 : * morte por HIV * 358. 471 : * Álcool * 716, 498 : * Fumar * 1. 177. 141 : * CâncerEntão você acha que Corona [SEP]",1,0
73,73,[CLS] * CAMBIO : Deputada Bia Kicis denuncia mortes forjadas de COVID - 19 * Já faz alguns dias que o Governo Bolsonaro vem criticando a forma como a COVID - 19 é tratada no Brasil. O Presidente Bolsonaro deu a cara e emplacou campanha no sentido de que a população se acalme. Mas muitos governadores e prefeitos insistiram em continuar espalhando pânico à população. http : / / www. atrombetanews. com. br / 2020 / 04 / 07 / cambio - deputada - bia - kicis - denuncia [SEP],1,0
85,85,"[CLS] * URGENTE : * * O CEEEX - Centro de Estudos do Estratégicos do Exército Brasileiro endossa estratégia de Bolsonaro. * * Em um documento entitulado ( Crise Covid19 Estratégias de Transição pra a normalidade ), publicado em 02 / 04 / 2020, o CEEEX defende que o isolamento vertical e o retorno à normalidade é a estratégia mais indicada. * https : / / www. facebook. com / 260519691116301 / posts / 853228445178753 / O [SEP]",1,0
150,150,[CLS] Se nao tomar cuidado muitos estao morrendo por outras causas e a midia vai publicar [UNK] e corona [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],1,0
182,182,"[CLS] Enquanto isso... a oposição vai cada vez fomentando o medo na população para "" tentar "" culpabilizar o governo federal, que apesar de tudo, vai fazendo sua parte... Mentira é bicho anão, mas bastante arisco. Vai vendo... https : / / www. bnews. com. br / noticias / principal / coronavirus / 263939, corona - e - tres - vezes - menos - letal - no - brasil - do - que - na - italia - diz - organizacao - mundial - da [SEP]",1,0
192,192,"[CLS] O infectologista foi questionado mais uma vez, na coletiva de hoje. Adivinha qual foi a resposta? "" Não importa o medicamento "" Não Sr. David Uip, importa sim!!! Vc está ficando sem saída, ou assume o seu tratamento contra o Covid - 19 com hidroxicloroquina, ou assume que foi um resfriado. Estamos de olho! # bolsonarotemrazao # aliancaconservadora # daviuip # coronavirus # vaipassar # comunismonao # queremostrabalhar # fiqueemcas [SEP]",1,0
198,198,"[CLS] Quem avisa amigo é : 03 / 04 / 2020 14 : 03 : 38 ] Ricardo Simões : Resposta de um amigo Promotor de Justiça Existe risco sim. Um médico que atesta uma morte, na verdade está expondo uma causa provável. Só é possível verificar - se legalmente é biologicamente a causa da morte, quando é, através de necropsia e exames patológicos de vísceras. Em processos judiciais fazemos isso. Em algumas ocasiões, nem assim, é possível determinar - se s causa da morte. O fato de uma pessoa estar contaminada com COVID19, não [SEP]",1,0
209,209,[CLS] Toda morte pulmonar agora e'corona [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],1,0
