,Unnamed: 0,News,Original Label,Prediction
51,51,"[CLS] O sistema carcerário no Japão : disciplina, foco, organização, limpeza e rotina. A filosofia que coordena o processo carcerário no continente asiático é bem diferente do que acontece em outros presídios ocidentais.. Confira como é a cadeia no Japão : O foco principal é levar o condenado ou condenada ao arrependimento pelo ato cometido. Eles acreditam que, por ter errado, a pessoa deixa de ser um ser humano honrado e deve pagar por isso. O Japão possui um dos sistemas carcerários mais severos do mundo. Tudo é autoritário. Pela cartilha de normas internas, o preso tem [SEP]",0,1
170,170,"[CLS] O próximo presidente será de centro - direita, diz cientista político. Para Christian Lohbauer, o vencedor das eleições em 2018 deverá ser Geraldo Alckmin, João Doria ou outro nome com o mesmo perfil que apareça daqui para a frente. Confira a entrevista com uma das maiores autoridades brasileiras quando o assunto é Ciência Política. Como o senhor analisa o atual quadro político no País? O sistema no qual a gente viveu nos últimos 30 anos, que é o modelo político, partidário e eleitoral da Constituição de 1988, faliu. O presidencialismo de coalizão se esgotou. A fragmentação do Congresso é [SEP]",0,1
404,404,"[CLS] A vida de um juiz do Supremo na Suécia : sem foro privilegiado, sem imunidade e sem auxílios. Assim como os políticos, um juiz do tribunal superior da Suécia ( equivalente ao nosso STF ) não tem imunidade nem foro privilegiado e pode ser processado como qualquer cidadão. Um juiz do Supremo na Suécia pedala até a estação ferroviária e toma o trem para chegar à Corte, em Estocolmo. Ele não mora em apartamento funcional, não recebe auxílio - moradia e nem auxílio - saúde. Não goza de imunidades. Não tem foro privilegiado. Ganha entre R $ 12 mil e R [SEP]",0,1
427,427,"[CLS] O assalto à casa do governador de SP que Dilma ( Estela, Wanda, Luiza ) ajudou a planejar. A noite estava chegando quando as duas camionetes estacionaram numa ladeira do bairro de Santa Tereza, no Rio. Armados de revólveres e granadas, 11 homens e duas jovens desembarcaram e, em movimentos rápidos, invadiram o casarão onde morava Ana Benchimol Capriglione, amante do ex - governador paulista Adhemar de Barros, famoso pelo bordão "" rouba, mas faz "". Na hora do crepúsculo de 18 de julho de 1969, [SEP]",0,1
989,989,"[CLS] Avião da Força Aérea Brasileira chega a Tocantins para desobstruir BR - 153. A rodovia está bloqueada desde a noite de domingo ( 8 ), quando caminhoneiros interditaram a via em protesto. Um avião da Força Aérea Brasileira ( FAB ) chegou ao Tocantins no início da tarde de ontem ( 12 / 11 ) e trouxe reforço da Força Nacional para a desobstrução da BR - 153, em Colinas do Tocantins, no norte do estado. Polícia Militar e Polícia Rodoviária Federal estão no local desde segunda - feira ( 9 ). Durante a noite, houve confronto entre os manifestantes [SEP]",0,1
1154,1154,"[CLS] Em 2009, a construtora Odebrecht foi expulsa do Equador por superfaturar obras em até 48 %. Na época, o então embaixador do Brasil em Quito, Antonino Marques Porto, mostrou que o governo equatoriano acompanhava de perto os problemas envolvendo a empresa brasileira.. Em junho deste ano, "" O Estado de S. Paulo "" publicou uma matéria narrando que o governo americano amparou o caso e a embaixada em Quito indicou, em vários telegramas enviados ao Departamento de Estado dos EUA, a razão para a suspensão dos contratos : O motivo? CORRUPÇÃO [SEP]",0,1
1232,1232,"[CLS] Em depoimento para Moro, Dirceu debocha do trabalhador brasileiro. "" Sem falsa modéstia, R $ 120 mil [ por mês ] é irrisório "", foram as palavras do ex - ministro José Dirceu ao explicar ao juiz Sergio Moro os valores cobrados por ele para prestar consultoria.. Em depoimento à Justiça Federal, o petista disse que os valores cobrados eram baixos em troca dele "" emprestar "" seu nome e prestígio às empresas investigadas na Operação Lava Jato. "" Sem falsa modesta, esse preço [ R $ 120 mil ] é irrisório, vou dizer para o senhor [SEP]",0,1
1239,1239,"[CLS] Aécio Neves mostra sua verdadeira face. O senador mineiro mudou o discurso e passa a repetir estratégias petistas para se ver livre das acusações que não param de chegar nas delações de executivos da Odebrecht. Cada dia é mais nítido que PT e PSDB são duas faces da mesma moeda. Aécio Neves, como nove de cada dez políticos, molda o discurso ético de acordo com seus interesses pessoais e partidários. Mas a última pérola proferida pelo presidente do PSDB vai ser especialmente difícil de passar na goela do eleitorado mineiro. Quando estava na oposição, em 2015, Aécio mostrou - se [SEP]",0,1
1255,1255,"[CLS] Sérgio Moro prende amigo número 1 de Lula. Ex - presidente pode ser o próximo alvo. Prisão de José Carlos Bumlai faz parte da 21a fase da Operação Lava Jato. Atual etapa foi batizada de Operação Passe Livre e tem 25 mandados.. A PF prendeu nesta terça - feira ( 24 ), em um hotel de Brasília, o pecuarista José Carlos Bumlai, na 21a fase da Operação Lava Jato. A prisão é preventiva, que não tem data para vencer. Ele será levado para a Superintendência da PF, em Curitiba. Bu [SEP]",0,1
1447,1447,"[CLS] General manda recado aos políticos : "" Não dá pra engolir tudo. Comportem - se com dignidade "". Jornalistas odeiam censura e cerceamento à liberdade de expressão, mas alguns se assustam quando chefes militares da ativa fazem colocações verdadeiras e oportunas sobre a conjuntura nacional.. Vale recordar que os profissionais das três Forças se dedicam, durante a carreira, ao estudo de problemas brasileiros e à avaliação da conjuntura internacional. Além da Universidade Militar ( quatro anos ), cursam, como capitães, a Escola de Aperfeiçoamento ( um ano ) ; depois, mediante [SEP]",0,1
