,Unnamed: 0,News,Original Label,Prediction
30,30,"[CLS] Brasileiro tem memória curta, né? Dia 03 de fevereiro de 2020, o Presidente da República, decretou situação de emergência nível 3, o mais alto na escala. Enviou para o Legislativo um "" Projeto de Lei "" com regras para a quarentena sanitária, PL essa, que foi DESCARTADA, por Rodrigo Maia. Nao se lembra??!? Ou então não lembra porque o seu prefeito ou o seu governador ( São Paulo, Rio e Bahia, por exemplo ), junto com a "" extrema - imprensa "", não queriam o alarde, para não estragar o grande [SEP]",0,1
31,31,[CLS] Mais uma prova de cura através do remédio do Bolsonaro. Em apenas 5 dias tomando hidroxicloroquina ele ficou curado da Covid - 19. Olha que tem quase 80 anos. Os políticos que não usam a cloroquina no começo do tratamento querem é matar o povo. # BolsonaroTemRazaohttps : / / noticias. r7. com / brasil / bispo - edir - macedo - vence - a - covid - 19 - e - recebe - alta - medica - em - sao - paulo - 12062020? amp & _ [SEP],0,1
59,59,"[CLS] Declaração do Prefeito ACM, antes do Carnaval que já tinha conhecimento desta Epidemia do CORONA VÍRUS 19! * Vai tudo caindo por terra, rebanho de safados * [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]",0,1
71,71,"[CLS] * SÃO PAULO NAS RUAS CONTRA O CORONADORIA *!! * Estaremos hoje dia 7 / 4 a partir das 14h, mais uma vez na Av PAULISTA 1313 - FIESP * queira ou não queira o decreto de Coronadória, deixem ou não deixem os PMs de Traidória, pois como diz nosso presidente : "" _ * Acordem para a realidade povo brasileiro, pois dentro de alguns dias será tarde de mais. "" * * # QueremosTrabalhar * [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]",0,1
84,84,[CLS] Em novembro de 2015 a televisão italiana apresentou uma matéria que denunciava que cientistas chineses haviam desenvolvido um super virus capaz de desencadear pneumonia agudaem seres humanos. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],0,1
91,91,"[CLS] * TRANSMISSÃO SECUNDÁRIA * Disseminação assintomática do coronavírus é ‘ muito rara ’, diz OMS. | DiarioDaAmazonia. com. brhttps : / / www. diariodaamazonia. com. br / disseminacao - assintomatica - do - coronavirus - e - muito - rara - diz - oms / [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]",0,1
174,174,"[CLS] LAVAR AS MÃOS É COISA SIMPLES, FÁCIL DEMAIS DE FAZER. JÁ HÁ MUITO TEMPO ATÉ CRIANCAS TÊM FEITO ISSO SOZINHAS. CONTUDO, LAVAR BEM AS MÃOS, MUITOS MARMANJÕES SÓ AGORA, APÓS ESSA CRISE GLOBAL DO CORONAVÍRUS, TÊM APRENDIDO FA [SEP]",0,1
177,177,"[CLS] - O médico David Uip tomou, ou não, HIDROXICLOROQUINA para se curar? [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]",0,1
193,193,[CLS] Ainda bem que e ele que esta falando! Pq a ultima palavra e de nosso bom samaretano jesus Cristo de nazare. Imagine ai um homem mandar o vento e o mar se acalmar. pode acabar com o covid - 19 em segundos [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],0,1
257,257,[CLS] A Polícia Federal apreendeu mais de R $ 748 mil na casa do secretário - adjunto de Gestão Administrativa da Secretaria de Saúde do Pará. O coronavírus virou a desculpa perfeita para os espertalhões assaltarem os cofres públicos. E ainda tem gente defendendo prorrogação de mandatos. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],0,1
270,270,[CLS] Fizeram visitas aos hospitais de Brasília para atestar os casos de corona vírus. Vejam o resultado. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],0,1
275,275,"[CLS] A China tem 1, 393 bilhão de habitantes e vai testar a vacina em São Paulo? [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]",0,1
