,Unnamed: 0,News,Original Label,Prediction
146,146,"[CLS] Delcídio afirma que dinheiro desviado de usina irrigou campanha de Dilma. Senador e ex - líder do governo disse, segundo a revista ‘ IstoÉ ’, em delação premiada que recursos da obra de Belo Monte foram repassados de maneira irregular para a disputa eleitoral de 2014 com ajuda dos ex - ministros da Casa Civil Erenice Guerra e Palocci. Em delação premiada firmada com o Ministério Público Federal no âmbito da Operação Lava Jato, o senador Delcídio Amaral ( PT - MS ) apontou aos investigadores um esquema de desvio de dinheiro nas obras da Usina de Belo Monte que abasteceu campanhas eleitorais. Segundo [SEP]",1,0
356,356,"[CLS] Cartas. "" DEMOCRACIA "" CUBANA. Apoio Qualquer coisa de bom que a "" revolução "" cubana tenha feito é invalidada pela desumana perseguição aos que dela discordam. A "" moção Grazziotin "", documento que exalta, imaginem, "" o compromisso cubano com a democracia e a justiça social "", deve ser amplamente divulgada para que os brasileiros saibam quem a apoia. Gustavo Guimarães da Veiga gjgveiga @ hotmail. com São Paulo Os cubanos sempre repetiram, com grande orgulho, um mote que [SEP]",1,0
418,418,[CLS] Furacão Irma deixa rastro de destruição ; FOTOS. Furacão deixou 44 mortos no Caribe e nos EUA.. SIGA EM TEMPO REAL [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],1,0
767,767,"[CLS] Manifestações pedem fora Temer em 19 estados e no DF. Faixas exigem eleições diretas.. Protestos foram registrados em 19 estados e no Distrito Federal neste domingo ( 21 ) pedindo a renúncia do presidente Michel Temer, convocados pelo PT e outros partidos, a CUT ( Central Única dos Trabalhadores ), grupos de esquerda, movimentos sociais e outras centrais sindicais. Os atos foram motivados pela delação premiada dos empresários Joesley e Wesley Batista, donos da JBS. No sábado ( 20 ), Temer disse que continua na Presidência e pediu suspensão do inquérito que o investiga. Até [SEP]",1,0
1757,1757,"[CLS] Procurador espanhol pede julgamento de Neymar por corrupção. Se condenado, jogador poderia pegar até 2 anos de prisão. A Procuradoria da Espanha pede que Neymar seja processado, ao lado de seu pai, por corrupção entre particulares por causa de supostos crimes que teria cometido com relação ao fundo brasileiro DIS, que administrava seus direitos federativos antes de se transferir para o Barcelona. Se condenado, o jogador poderia pegar de seis meses a dois anos de prisão. O procurador José Perals solicitou que o juíz José de la Mata julgue o caso sob investigação e que indicie o atacante brasileiro. A DIS [SEP]",1,0
1851,1851,"[CLS] Especial : Cem jogos do Palmeiras na arena. O Palmeiras chega ao 100o jogo no Allianz Parque com a certeza de que o investimento valeu a pena. Estádio concebido dentro do padrão Fifa, a nova arena foi inaugurada no ano do centenário do Palmeiras, em 2014. A praça esportiva também tem a capacidade para receber variados eventos, como shows, e é cotada como uma das sedes de partidas da próxima Copa América, que será realizada no Brasil em 2019. Mas nada disso é tão importante quanto a aproximação do torcedor. O novo campo de jogo representa um grande aliado para o Palmeiras. A presença do público bem próximo ao [SEP]",1,0
1970,1970,"[CLS] ‘ Alckmin tem qualidades para assumir o País. Para Rubens Ometto, o atual governador de SP está fazendo uma boa gestão, é uma pessoa correta e equilibrada. O empresário Rubens Ometto Silveira Mello, fundador do grupo Cosan ( dono da Raízen, ALL e Comgás ), diz que o País pode deixar de crescer em 2018 se a reforma da Previdência não for aprovada. Ometto elogiou o governo de Geraldo Alckmin ( PSDB ) em São Paulo e fez duras críticas à gestão petista, além de defender que o governo tem de reduzir a intervenção na economia. [SEP]",1,0
2258,2258,"[CLS] Temer pede que até 30 de maio o Congresso o autorize a fechar o Orçamento com R $ 170 bilhões de déficit primário ( abismo que separa o dever do haver nas contas previstas ) até 30 de maio. Os R $ 2 bilhões de gastos federais por ano com a Cultura parecem uma ninharia de 1, 2 %. Mas a aritmética não serve para medir e pesar com a mesma fita métrica e na mesma balança quando se trata da ganância de uma organização criminosa que se reuniu só para assaltar os cofres públicos, mesmo a esta se somando ganância e usura [SEP]",1,0
2418,2418,"[CLS] Interventor pegará sistema prisional fluminense superlotado e degradado. Cadeias também estarão sob o comando do general Braga Netto. Unidade na Baixada Fluminense passou por rebelião no domingo passado e Forças Armadas realizaram inspeção. Com 50, 2 mil presos onde cabem 28, 4 mil, o sistema penitenciário do Rio de Janeiro tem problemas que são comuns a cadeias de outros Estados brasileiros : além da superlotação, as dificuldades se espalham para a área de assistência médica e ressocialização, sem falar na disseminação do poder das facções criminosas. A intervenção já começou com uma [SEP]",1,0
2444,2444,"[CLS] Lula pode ser preso? Pode, pois está sob análise de Moro o pedido de prisão preventiva feito pelo Ministério Público de São Paulo, que denunciou o petista por lavagem de dinheiro e falsidade ideológica por supostamente ter ocultado a propriedade de um tríplex no Guarujá, no litoral paulista. Por decisão da Justiça de São Paulo, o caso foi remetido para Moro e, posteriormente, por decisão de Teori, foi remetido para o Supremo, que agora decidiu devolveu o caso para o juiz da Lava Jato para que ele decida se vai aceitar a denúncia do MP paulista e, eventualmente [SEP]",1,0
2584,2584,"[CLS] TJ - MG mantém condenação de 20 anos de prisão para ex - governador Eduardo Azeredo. O ex - governador Eduardo Azeredo ( PSDB ) havia sido condenado em 2015 a 20 anos e 10 meses de prisão por peculato e lavagem de dinheiro em sua campanha ao governo de MG.. A 5a Câmara Criminal do Tribunal de Justiça de Minas Gerais ( TJ - MG ) decidiu, nesta terça - feira ( 22 ), manter a condenação do ex - governador de Minas Gerais e ex - senador Eduardo Azeredo ( PSDB ), de 20 anos de prisão no processo do mensalão tucano. Dois desembargadores votar [SEP]",1,0
2996,2996,"[CLS] Seul treina time para decapitar ditador vizinho. Com tropa de elite treinada para matar Kim Jong - un, Seul quer pelo menos assustar ditador. Na última vez que se soube que a Coreia do Sul havia conspirado para assassinar a liderança norte - coreana, nada saiu como planejado. No fim da década de 60, depois que unidades especiais da Coreia do Norte tentaram saquear o palácio presidencial em Seul, a Coreia do Sul treinou secretamente grupos de desajustados, tirados das prisões ou das ruas para infiltrar - se na Coreia do Norte e cortar o pescoço de seu líder, Kim Il - sung [SEP]",1,0
3020,3020,"[CLS] Península nuclearizada. Teste de bomba norte - coreana faz com que Coreia do Sul também queira ter ogiva nuclear. O ritmo acelerado com que a Coreia do Norte desenvolve seu programa nuclear tem superado todas previsões e suscita preocupação entre os líderes mundiais. Também atrapalha os planos de aposentadoria de uma avó norte - coreana. Em 2012, a veterana apresentadora da TV estatal do país, Ri Chun - hee, recebeu de seus chefes a promessa de que poderia descansar, depois de passar 41 anos transmitindo alegremente notícias de conteúdo propagandístico. A ideia era que a senhora de 74 [SEP]",1,0
3069,3069,"[CLS] Empresária dá lição de vida após câncer de mama e de ovário. "" Eu peguei o câncer, ele não me pegou "", comemora Patricia Prandini. Sentada ao lado do berço do filho mais novo, a empresária Patricia Prandini assistia ao bebê dormir quando o celular tocou. Do outro lado da linha, seu médico trazia informações sobre os resultados de exames feitos recentemente em um check - up. Tentando falar baixo, com as pernas bambas, ela ouviu o diagnóstico : havia um câncer a se tratar. Do momento em que encerrou a ligação a fim [SEP]",1,0
3231,3231,"[CLS] O ex - tesoureiro do PT João Vaccari Neto cobrou 1 % de propina sobre valores financiados pelo BNDES em obra da empreiteira Andrade Gutierrez na Venezuela. A informação consta da petição entregue pelo procurador - geral da República, Rodrigo Janot, ao Supremo Tribunal Federal, em que pede investigação sobre o ex - presidente Luiz Inácio Lula da Silva, ministros, senadores e deputados. Janot cita trechos da delação premiada dos ex - presidentes da Andrade Gutierrez Otávio Marques de Azevedo e Rogério Nora e do executivo Flávio Machado. A suposta propina para Vaccari, [SEP]",1,0
3456,3456,"[CLS] Submarino americano deixa Seul em alerta. Chegada do USS Michigan leva ainda mais tensão à região. O presidente eleito da Coreia do Sul, Moon Jae - in, acredita que a presença do submarino nuclear americano USS - 727 Michigan, atracado há 20 dias no porto de Busan, é um fator de preocupação, mais que de tranquilidade. O gigante de aço negro, 170 metros de comprimento e 18, 7 mil toneladas, integra a poderosa força - tarefa naval despachada para a região, em abril, pelo presidente Donald Trump, para conter a Coreia do Norte. O navio é uma grande máquina de guerra [SEP]",1,0
3526,3526,"[CLS] Maia diz que Meirelles deveria apresentar agenda pós - reforma da Previdência. O presidente da Câmara voltou a lamentar que reforma não tenha sido aprovada em 2017. O presidente da Câmara, Rodrigo Maia ( DEM - RJ ), acredita que o ministro da Fazenda e possível candidato à Presidência da República, Henrique Meirelles ( PSD ), deveria apresentar à sociedade uma agenda que avance além da reforma da Previdência. "" Na minha opinião, a agenda do ministro Meirelles, e não estou aqui querendo criticar... Ela comete ( um erro ), do meu ponto de vista, e já disse [SEP]",1,0
3554,3554,"[CLS] Avião caiu por falta de combustível, conclui Aeronáutica da Colômbia. Aeronave da companhia boliviana LaMia teve pane seca antes da queda. As autoridades colombianas apresentaram nesta quarta - feira em Medellín as primeiras conclusões sobre o acidente aéreo do voo que transportava a Chapecoense até a cidade para jogo contra o Atlético Nacional, pela final da Copa Sul - Americana. Segundo o Secretário Nacional de Segurança Aérea da Colômbia, Freddy Bonilla, a aeronave da companhia boliviana LaMia estava sem combustível no momento do choque, o que indica a possibilidade de ter existido nos instantes anteriores [SEP]",1,0
3595,3595,"[CLS] A proposta de delação do ex - executivo da Odebrecht Cláudio Melo Filho alcança as presidências das duas casas do Congresso Nacional. O deputado Rodrigo Maia e o senador Renan Calheiros, respectivamente, presidente da Câmara e do Senado, são citados no anexo da proposta de delação encaminhada à procuradoria - geral da República. Calheiros seria um dos interlocutores da empresa no Senado e teria recebido para legislar a favor da Odebrecht na aprovação do projeto de resolução 72 / 2010 e nas Mps 579, 613 e 627. As citações estão no anexo de 82 páginas entregue [SEP]",1,0
