,Unnamed: 0,News,Original Label,Prediction
0,0,"[CLS] Renda Brasil unificará vários programas sociais. O ministro da Economia, Paulo Guedes, anunciou que o governo federal criará um programa de renda mínima permanente, após a pandemia do novo coronavírus ( covid - 19 ), batizado de Renda Brasil. O ministro disse ainda que será criado um programa para geração de empregos formais, com a retomada do projeto Carteira Verde e Amarela.... https : / / dunapress. org / 2020 / 06 / 09 / governo - vai - criar - programa - de - renda - minima - apos - a - pan [SEP]",0,0
1,1,"[CLS] O Secretário - Geral da OTAN Jens Stoltenberg também ex Primeiro Ministro da Noruega 2000 - 2013 em seu pronunciamento sobre o lançamento do programa # NATO2030 - Fortalecendo a Aliança em um mundo cada vez mais competitivo deixa a seguinte mensagem : "" A aliança precisa e deve enfrentar a China! "", OTAN Vídeo : Hoje no mundo Militar... https : / / dunapress. org / 2020 / 06 / 11 / 50619 / [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]",0,0
2,2,"[CLS] As informações são repassadas pelas Secretarias Estaduais de Saúde e consolidadas pelo Ministério da Saúde. Ministério da Saúde checa os dados e consolida todas as informações, que são publicadas nos sistemas oficiais e plataformas. O Brasil registrou, na terça - feira ( 9 ), o total de 311. 064 casos de pessoas curadas do novo coronavírus ( Covid - 19 ). As informações foram atualizadas às 18h45, e repassadas pelas Secretarias Estaduais de Saúde de todo o País... https : / / dunapress. org / 2020 / 06 [SEP]",0,0
3,3,"[CLS] Parte dos recursos será destinada à Fiocruz, para ampliar sua a capacidade de oferecer testes diagnósticos e de produzir medicamentos. Presidente sancionou lei que abre crédito complementar com reforço orçamentário às ações de combate ao coronavírus. O presidente da República, Jair Bolsonaro, sancionou, a lei que abre crédito suplementar ao Orçamento da União de R $ 343, 6 bilhões, para quitar despesas correntes por meio de endividamento em títulos públicos... https : / / dunapress. org / 2020 / 06 / 10 / presidente - jair - bolson [SEP]",0,0
4,4,"[CLS] Texto visa garantir segurança para trabalhadores durante a pandemia do coronavírus Em decorrência da pandemia do coronavírus ( Covid - 19 ), a Presidência da República editou, neste sábado ( 4 ), a Medida Provisória 945 / 20, com foco no setor portuário. A MP, que visa garantir um ambiente mais seguro para os trabalhadores dos portos brasileiros, foi publicada no Diário Oficial da União e tem validade por 120 dias... * Saiba mais através do link abaixo : * https : / / dunapress. org / 2020 / [SEP]",0,0
5,5,"[CLS] Os militares das Forças Armadas permanecem em diversas frentes de trabalho para combater o novo coronavirus e apoiar a população. Coordenados com agentes do governo, estão sendo empregados em ações como montagem de barracas em apoio a hospitais, fiscalização da entrada e saída de passageiros nas fronteiras, nos aeroportos e nos portos, descontaminação de locais públicos e transporte de medicamentos... * Saiba mais através do link abaixo : * https : / / dunapress. org / 2020 / 04 / 05 / defesa - emprega - mais - de - 25 - mil - militares - no - combate - a - covid [SEP]",0,0
8,8,"[CLS] Ambos países planejam enviar veículos para Marte neste verão A rivalidade entre China e Estados Unidos vai esquentar neste verão, quando os dois países enviarem veículos para Marte. Parece que a jornada da China ao planeta vermelho não está sendo dificultada pelo surto de Covid - 19, pela crise econômica ou pelas crescentes tensões com os EUA. A Administração Espacial Nacional da China acaba de anunciar que o programa para colocar um selo chinês no planeta vermelho seguirá em frente com os preparativos avançando bem em direção ao primeiro lançamento, provavelmente da província de Hainan, no sul, em julho ou agosto, quando os dois planetas [SEP]",0,0
9,9,"[CLS] “ Portanto assim diz o Senhor : Eis que trarei mal sobre eles, de que não poderão escapar ; e clamarão a mim, mas eu não os ouvirei. ” Jeremias 11 : 11 Nestes dias nefastos de COVID - 19, onde o pânico e a incerteza têm se alastrado como fogo em pólvora, e com todos vendo - se obrigados a se trancarem em suas casas diante da ameaça invisível de uma ameaça invisivel que alastrou - se por todo o planeta, as pessoas buscam entender o que está acontecendo em meio a uma narrativa que muito lembra [SEP]",0,0
10,10,"[CLS] O Ministério da Saúde adquiriu mais 15 mil respiradores mecânicos, para ajudar pacientes graves de coronavírus ( Covid - 19 ). Os ventiladores ajudam pacientes que apresentam dificuldades respiratórias. Após a assinatura do contrato, feita no final de março, a empresa tem até 30 dias para entregar os equipamentos no Brasil. O Ministério da Saúde tem mantido diálogo permanente com produtores brasileiros de respiradores para garantir a oferta no País... * Saiba mais através do link abaixo : * https : / / dunapress. org / 2020 / 04 / 06 / coronavirus - governo - [SEP]",0,0
14,14,"[CLS] https : / / www. dfmobilidade. com. br / 2020 / 06 / covidao - no - para - de - helder - barbalho. html Governador do Pará, Helder Barbalho ( MDB ), é alvo de ação da PF que investiga fraudes na compra de respiradores [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]",0,0
17,17,"[CLS] Estudo vai utilizar plasma sanguíneo de pessoas recuperadas em pacientes infectados pela doença. Projeto envolve cinco hospitais brasileiros e vai incluir 120 pacientes. Voluntários estão divididos em três grupos : um grupo recebe 200 ml de plasma, outro grupo, 400 ml, e outra parte não recebe o plasma. Um estudo realizado por cinco hospitais brasileiros começou a testar o uso de plasma sanguíneo em pacientes com a Covid - 19... https : / / dunapress. org / 2020 / 06 / 09 / pesquisa - vai - utilizar - plasma - sanguineo - em - [SEP]",0,0
18,18,[CLS] Tapa na cara do Congresso. Precisamos defender este magistrado. Juiz Federal bloqueia fundos eleitoral e partidário e determina uso do dinheiro no combate ao coronavírus. https : / / portalnovonorte. com. br /? p = 24309 [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],0,0
19,19,"[CLS] Acabei de assistir na CNN AMERICANA a coletiva de imprensa diária da Casa Branca sobre o coronavírus, hoje, Peter Navarro, conselheiro de Trump, acaba de falar em alto e bom som que se há algo que os EUA estão aprendendo com a atual crise é que o país não pode mais depender tanto da cadeia de distribuição global. Falta uma série de coisas nos EUA que ninguém “ imaginava ” ser possível. Muita coisa essencial só pode ser obtida hoje se comprada fora do país. Medicamentos básicos e essenciais deixaram de ser produzidos nos EUA nas ultimas décadas [SEP]",0,0
24,24,"[CLS] http : / / www. pf. gov. br / imprensa / noticias / 2020 / 06 - noticias - de - junho - de - 2020 / pf - investiga - fraude - nas - compras - emergenciais - de - insumos - hospitalares - para - combate - ao - covid - 19Porto Velho / RO - A Polícia Federal deflagrou nesta quarta - feira ( 10 / 6 ) a denominada OPERAÇÃO DÚCTIL, visando desarticular esquemas de fraudes na aquisição emergencial de materiais e insumos médico - hospitalares [SEP]",0,0
25,25,[CLS] * Boletim especial coronavírus * * BOAS NOTÍCIAS * Covid - 19 : mais de 170 pessoas receberam alta após só nas últimas 24hhttps : / / gazetabrasil. com. br / especiais / coronavirus / covid - 19 - mais - de - 170 - pessoas - receberam - alta - apos - so - nas - ultimas - 24h / * Covid - 19 : casal curado recebe alta sob aplausos no interior de SP * https : / / gazetabrasil. com. br / brasil [SEP],0,0
29,29,"[CLS] O Globo : Grupo chinês compra 23, 7 % da Azul por R $ 1, 7 bi - https : / / oglobo. globo. com / economia / negocios / grupo - chines - compra - 237 - da - azul - por - 17 - bi - 18123999? utm _ source = Whatsapp & utm _ medium = Social & utm _ campaign = compartilhar [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]",0,0
32,32,"[CLS] _ O Governo do Maranhão recebeu nesta terça - feira ( 9 ) algo em torno de * R $ 245 milhões do dinheiro liberado pelo governo federal * para socorrer estados e municípios em meio à pandemia do novo coronavírus. _ _ No total, o governo Flávio Dino ( PCdoB ) será contemplado com * R $ 982 milhões. * _ ( É MUITO DINHEIRO ) _ As prefeituras também receberam a primeira parcela : de acordo com levantamento do Senado, * os municípios maranhenses receberão, ao todo, perto de R $ 59 [SEP]",0,0
33,33,"[CLS] * Resumo do dia * https : / / gazetabrasil. com. br / destaques / ultimas - noticias - de - hoje / resumo - 08 - 06 - 2020 - inquerito - sobre - interferencia - cassacao - de - joice - dados - do - ministerio - da - saude - operacao - mbl - para - derrubar - bolsonaro - e - mais * Segunda - feira, 8 de junho de 2020 * * Política * _ Por “ ausência de comprovação ”, Damares anula declaração de anistia [SEP]",0,0
34,34,"[CLS] * NOVAS MEDIDAS * * Boletim especial coronavírus * * Quarta - feira, 1° de abril de 2020 * Bolsonaro sanciona benefício de R $ 600 para trabalhador informalhttps : / / gazetabrasil. com. br / especiais / jair - bolsonaro / bolsonaro - sanciona - beneficio - de - r - 600 - para - trabalhador - informal / Rio Grande do Sul prorroga quarentena e fechamento do comérciohttps : / / gazetabrasil. com. br / politica / rio - [SEP]",0,0
35,35,"[CLS] * Principais notícias de agora * * Terça - feira, 31 de março de 2020 * * Bolsonaro fará pronunciamento hoje à noite * https : / / gazetabrasil. com. br / especiais / jair - bolsonaro / bolsonaro - fara - pronunciamento - hoje - a - noite / * “ Há 56 anos, as FA intervieram na política nacional para enfrentar a desordem ” * https : / / gazetabrasil. com. br / politica / ha - 56 - anos - as - fa - intervieram - na [SEP]",0,0
37,37,"[CLS] Segundo o Coronel Francinaldo Machado, os policiais militares não irão dar folga à bandidagem, “ iremos jogar pesado sempre contra quem tentar contra as pessoas de bem e agentes do estado ” [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]",0,0
44,44,[CLS] * MS esclarece fala com indução ao erro no programa Jornal Nacional sobre covid - 19 * http : / / surgiu. com. br / 2020 / 06 / 09 / ms - esclarece - fala - com - inducao - ao - erro - no - programa - jornal - nacional - sobre - covid - 19 / [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],0,0
45,45,[CLS] * Ministro Mandetta Ao Vivo sobre o Ministério da Saúde e as estratégias contra o Coronavírus * https : / / www. facebook. com / heitorfreire / videos / 291120648541517 /? vh = e & d = n [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],0,0
46,46,"[CLS] Caros, andei pesquisando muito e consultando fontes confiáveis etc. Este site, do BANCO MUNDIAL tem números atualizados e indicadores MUITO INTERESSANTES, REAIS e CONSOLIDADOS. Aí não ficamos a mercê desse monte de infos esdrúxulas de whatsapp. Ressalto ainda a posição do Brasil nos indicadores, ou seja, o país, pela sua enorme população, condições sociais e regionais, está indo muito bem em vários aspectos e muito melhor que diversos outros países da America Latina e Caribe. [SEP]",0,0
51,51,"[CLS] _ * Hélder tentou evitar essa operação no início do mês de maio, logo que foi descoberta a compra dos respiradores pulmonares inservíveis para a sobrevida de infectados por Covid - 19. * _ _ * O governador pagou R $ 25 milhões antecipado * aos operadores da transação, que a Polícia Federal descobriu tratar - se de uma quadrilha. * Na casa do ordenador de despesas da secretaria de Saúde, a PF encontrou mais de R $ 700 mil em dinheiro. * _ https : / / radiomirante96fm. com / noticia / 734784 [SEP]",0,0
52,52,"[CLS] * Banco Mundial classifica o Brasil como melhor país no combate ao Coronavírus * * MEDIDAS ADOTADAS POR BOLSONARO É RECONHECIDA PELO BANCO MUNDIAL NO COMBATE AO CORONAVÍRUS, A ESQUERDA ODEIA NOTÍCIAS BOAS COMO ESSA * * http : / / www. folhadapolitica. com / 2020 / 04 / banco - mundial - classifica - o - brasil - como. ht [SEP]",0,0
54,54,"[CLS] * Corpo de advogado é retirado de túmulo ao testar negativo para coronavírus! * Ele foi enterrado com a família com mais de 100 metros de distância. Quando o governador [ Helder Barbalho ] informou pelas redes sociais que deu negativo, nos mobilizamos para desenterrar. Velamos desde ontem a noite até a tarde de hoje, quando sepultamos de novo. http : / / www. atrombetanews. com. br / 2020 / 04 / 03 / corpo - de - advogado - e - retirado - de - tumulo - ao - testar - negativo - [SEP]",0,0
55,55,"[CLS] https : / / gazetabrasil. com. br / destaques / ultimas - noticias - de - hoje / resumo - do - dia - boletim - coronavirus - bloqueio - de - fundao - e - partidario - david - uip - e - cloroquina - e - mais / * Terça - feira, 07 de Abril de 2020 * _ * As últimas atualizações sobre o CORONAVÍRUS serão enviadas às 20 : 00h, em um boletim especial sobre as novas medidas do governo federal. Além de novidades da [SEP]",0,0
56,56,[CLS] Vamos orar Pai Nosso Que estais nos céus Santificado seja o vosso Nome Venha a nós o vosso Reino Seja feita a vossa vontade Assim na terra Como no céu O pão nosso de cada dia Nos dai hojeperdoai nossas ofensas assim como nós perdoamos a quem nos tem ofendido Não nos deixe cair em tentação E livrai - nos de todo o mal. Amém. Amado Senhor Eu agradeço Por este dia maravilhosoPela minha família Pelo meu alimento Por um telhado onde descansar por mais um dia de trabalho e principalmentePor [SEP],0,0
