,News,Original Label,Prediction
0,"[CLS] Renda Brasil unificará vários programas sociais. O ministro da Economia, Paulo Guedes, anunciou que o governo federal criará um programa de renda mínima permanente, após a pandemia do novo coronavírus ( covid - 19 ), batizado de Renda Brasil. O ministro disse ainda que será criado um programa para geração de empregos formais, com a retomada do projeto Carteira Verde e Amarela.... https : / / dunapress. org / 2020 / 06 / 09 / governo - vai - criar - programa - de - renda - minima - apos - a - pan [SEP]",0,0
1,"[CLS] O Secretário - Geral da OTAN Jens Stoltenberg também ex Primeiro Ministro da Noruega 2000 - 2013 em seu pronunciamento sobre o lançamento do programa # NATO2030 - Fortalecendo a Aliança em um mundo cada vez mais competitivo deixa a seguinte mensagem : "" A aliança precisa e deve enfrentar a China! "", OTAN Vídeo : Hoje no mundo Militar... https : / / dunapress. org / 2020 / 06 / 11 / 50619 / [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]",0,0
2,"[CLS] As informações são repassadas pelas Secretarias Estaduais de Saúde e consolidadas pelo Ministério da Saúde. Ministério da Saúde checa os dados e consolida todas as informações, que são publicadas nos sistemas oficiais e plataformas. O Brasil registrou, na terça - feira ( 9 ), o total de 311. 064 casos de pessoas curadas do novo coronavírus ( Covid - 19 ). As informações foram atualizadas às 18h45, e repassadas pelas Secretarias Estaduais de Saúde de todo o País... https : / / dunapress. org / 2020 / 06 [SEP]",0,0
3,"[CLS] Parte dos recursos será destinada à Fiocruz, para ampliar sua a capacidade de oferecer testes diagnósticos e de produzir medicamentos. Presidente sancionou lei que abre crédito complementar com reforço orçamentário às ações de combate ao coronavírus. O presidente da República, Jair Bolsonaro, sancionou, a lei que abre crédito suplementar ao Orçamento da União de R $ 343, 6 bilhões, para quitar despesas correntes por meio de endividamento em títulos públicos... https : / / dunapress. org / 2020 / 06 / 10 / presidente - jair - bolson [SEP]",0,0
4,"[CLS] Texto visa garantir segurança para trabalhadores durante a pandemia do coronavírus Em decorrência da pandemia do coronavírus ( Covid - 19 ), a Presidência da República editou, neste sábado ( 4 ), a Medida Provisória 945 / 20, com foco no setor portuário. A MP, que visa garantir um ambiente mais seguro para os trabalhadores dos portos brasileiros, foi publicada no Diário Oficial da União e tem validade por 120 dias... * Saiba mais através do link abaixo : * https : / / dunapress. org / 2020 / [SEP]",0,0
5,"[CLS] Os militares das Forças Armadas permanecem em diversas frentes de trabalho para combater o novo coronavirus e apoiar a população. Coordenados com agentes do governo, estão sendo empregados em ações como montagem de barracas em apoio a hospitais, fiscalização da entrada e saída de passageiros nas fronteiras, nos aeroportos e nos portos, descontaminação de locais públicos e transporte de medicamentos... * Saiba mais através do link abaixo : * https : / / dunapress. org / 2020 / 04 / 05 / defesa - emprega - mais - de - 25 - mil - militares - no - combate - a - covid [SEP]",0,0
6,"[CLS] @ ElmindoP % PATRIOTA! * VAMOS ACORDAR BRASIL!!!! E VOCE AINDA ACREDITANDO NESTA FARSA DE COVID19, É UM GOLPE QUE FOI ARQUITETADO PARA ENGANAR OS BRASILEIROS, MENOS ESCLARECIDOS... * # NAOFIQUEEMCASA # VAMOSTRABALHAR # BOLSONAROESTA [SEP]",1,1
7,"[CLS] Gente, isso é EXTREMAMENTE GRAVE!!! Mandetta além de picareta é um grande mentiroso! Ele Não mudou NADA em relação a hidroxicloroquina! Mentiu na cara dura!!! Pra pedir dinheiro sem licitação pede com urgência agora para aprovar a hidroxicloroquina deixa pessoas continuarem morrendo!!!! # ForaMandetta! [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]",1,1
8,"[CLS] Ambos países planejam enviar veículos para Marte neste verão A rivalidade entre China e Estados Unidos vai esquentar neste verão, quando os dois países enviarem veículos para Marte. Parece que a jornada da China ao planeta vermelho não está sendo dificultada pelo surto de Covid - 19, pela crise econômica ou pelas crescentes tensões com os EUA. A Administração Espacial Nacional da China acaba de anunciar que o programa para colocar um selo chinês no planeta vermelho seguirá em frente com os preparativos avançando bem em direção ao primeiro lançamento, provavelmente da província de Hainan, no sul, em julho ou agosto, quando os dois planetas [SEP]",0,0
9,"[CLS] “ Portanto assim diz o Senhor : Eis que trarei mal sobre eles, de que não poderão escapar ; e clamarão a mim, mas eu não os ouvirei. ” Jeremias 11 : 11 Nestes dias nefastos de COVID - 19, onde o pânico e a incerteza têm se alastrado como fogo em pólvora, e com todos vendo - se obrigados a se trancarem em suas casas diante da ameaça invisível de uma ameaça invisivel que alastrou - se por todo o planeta, as pessoas buscam entender o que está acontecendo em meio a uma narrativa que muito lembra [SEP]",0,0
10,"[CLS] O Ministério da Saúde adquiriu mais 15 mil respiradores mecânicos, para ajudar pacientes graves de coronavírus ( Covid - 19 ). Os ventiladores ajudam pacientes que apresentam dificuldades respiratórias. Após a assinatura do contrato, feita no final de março, a empresa tem até 30 dias para entregar os equipamentos no Brasil. O Ministério da Saúde tem mantido diálogo permanente com produtores brasileiros de respiradores para garantir a oferta no País... * Saiba mais através do link abaixo : * https : / / dunapress. org / 2020 / 04 / 06 / coronavirus - governo - [SEP]",0,0
11,"[CLS] Prezados amigos.. vocês sabiam que, todos os problemas da humanidade foram curados com esse pânico fake do covid19?????? Vejam?? Sempre morreram milhares de pessoas de H1N1, POIS, NUNCA FOI ERRADICADA ESTA GRIPE, DE AIDS que NUNCA FOI ERRADICADA, DE TUBERCULOSE, DE INFARTO, DE BRIGAS DOMÉSTICAS, DE IDADE, DE INSUFICI [SEP]",1,1
12,"[CLS] Quando o filho de Bolsonaro culpou a China por causa do coronavirus ouve repercussão no mudo todo, agora o prefeito de Lisboa em Portugal fala a mesma coisa e explica com detalhe como a China espalhou o vírus para o mundo. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]",1,1
13,[CLS] URGENTE : Infectologista admite que 40 % dos óbitos registrados são falsamente atribuídos a covid - 19. Aos poucos o povo brasileiro vai descobrindo que foi enganado.... https : / / portalnovonorte. com. br /? p = 26631 & amp = 1 [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],1,1
14,"[CLS] https : / / www. dfmobilidade. com. br / 2020 / 06 / covidao - no - para - de - helder - barbalho. html Governador do Pará, Helder Barbalho ( MDB ), é alvo de ação da PF que investiga fraudes na compra de respiradores [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]",0,0
15,[CLS] Um dos maiores jornais da frança já noticiou. Três renomados médicos franceses comprovaram a eficácia do medicamento e denunciam que há um boicote político - ideológico da esquerda contra a hidroxicloroquina que pode custar a vida de milhares de pessoas. # BolsonaroTemRazãohttps : / / portalnovonorte. com. br /? p = 24267 [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],1,1
16,"[CLS] Paciente sendo tratado com a Hidroxicloroquina e Azitromicina, não precisou ser entubado. # ForaMandettaJa # HidroxicloroquinaPrecoceJa # ACORDABRASIL # VERGONHAGERAL # ImprensaLixo # midiapodre # imprensasordida [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]",1,1
17,"[CLS] Estudo vai utilizar plasma sanguíneo de pessoas recuperadas em pacientes infectados pela doença. Projeto envolve cinco hospitais brasileiros e vai incluir 120 pacientes. Voluntários estão divididos em três grupos : um grupo recebe 200 ml de plasma, outro grupo, 400 ml, e outra parte não recebe o plasma. Um estudo realizado por cinco hospitais brasileiros começou a testar o uso de plasma sanguíneo em pacientes com a Covid - 19... https : / / dunapress. org / 2020 / 06 / 09 / pesquisa - vai - utilizar - plasma - sanguineo - em - [SEP]",0,0
18,[CLS] Tapa na cara do Congresso. Precisamos defender este magistrado. Juiz Federal bloqueia fundos eleitoral e partidário e determina uso do dinheiro no combate ao coronavírus. https : / / portalnovonorte. com. br /? p = 24309 [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],0,0
19,"[CLS] Acabei de assistir na CNN AMERICANA a coletiva de imprensa diária da Casa Branca sobre o coronavírus, hoje, Peter Navarro, conselheiro de Trump, acaba de falar em alto e bom som que se há algo que os EUA estão aprendendo com a atual crise é que o país não pode mais depender tanto da cadeia de distribuição global. Falta uma série de coisas nos EUA que ninguém “ imaginava ” ser possível. Muita coisa essencial só pode ser obtida hoje se comprada fora do país. Medicamentos básicos e essenciais deixaram de ser produzidos nos EUA nas ultimas décadas [SEP]",0,0
