,Unnamed: 0,News,Original Label,Prediction
0,0,"[CLS] É possível fazer policiamento ignorando varejo de drogas e focando homicídios, diz sociólogo. José Luiz Ratton critica a atuação policial no país e a intervenção do governo Temer na segurança pública do Rio de Janeiro.. Para o sociólogo José Luiz Ratton, professor da Universidade Federal de Pernambuco, uma das soluções para diminuir violência no Brasil deveria partir de uma mudança no tipo de policiamento feito hoje : segundo ele, a polícia deveria "" ignorar "" o pequeno tráfico de drogas e concentrar forças na tentativa de reduzir os homicídios no país. Em 2016, o Brasil registrou 61 mil assassinatos e segue em [SEP]",1,1
1,1,"[CLS] Lula parece não perceber o que acontece no país, diz Ciro GomesSegundo o pré - candidato, fala de Lula alimenta polarização Segundo o pré - candidato, fala de Lula alimenta polarização O pré - candidato à Presidência Ciro Gomes ( PDT ) comentou nesta quinta - feira ( 1o ) a fala do ex - presidente Lula na entrevista concedida à Folha, na qual o petista afirma que Ciro ou vai para a direita ou não pode brigar com o PT, pois nenhum candidato ganharia a eleição sem apoio do partido ou do PSDBAo ser questionado pelo apresentador José Luiz Datena, da Rádio Bandeirantes, Ciro [SEP]",1,1
3,3,[CLS] Moradores mudam rotina após explosões de caixas eletrônicos no Centro - Oeste de MG. Vítimas relatam medo constante e comércio acumula prejuízos ; Polícias Militar e Civil reforçam investigações e ações preventivas. Bancos também se posicionaram.. A série de ataques a caixas eletrônicos registrados no Centro - Oeste de Minas fez com que moradores mudassem a rotina e precisassem se deslocar para outras cidades para conseguir receber pagamentos. Os comerciantes reclamam que as vendas caíram e a inadimplência aumentou e as polícias Militar e Civil fazem uma força - tarefa para reprimir a modalidade criminosa e prender [SEP],1,1
6,6,"[CLS] Cenário : Exercícios aéreos e controle de fronteira com a Venezuela. Manobras têm a ver com a situação de tensão na longa fronteira de 2 mil km com a Venezuela, por onde entra um fluxo crescente de imigrantes venezuelanos. O Esquadrão Escorpião, da Ala 7 da Força Aérea, em Boa Vista, está realizando há uma semana exercício de treinamento de todos os pilotos do grupo de combate. É também a etapa final do curso de formação de líderes da aviação da caça. A bordo dos A - 29 Super Tucano, da Embraer, atuando em um cenário tático bem definido, os oficiais cumprem missões [SEP]",1,1
7,7,"[CLS] Relator mantém condenação de Lula por corrupção e lavagem de dinheiro e aumenta pena. Gebran Neto afirma que ex - presidente foi articulador de esquema de corrupção.. O desembargador João Pedro Gebran Neto manteve a condenação do ex - presidente Luiz Inácio Lula da Silva por corrupção e lavagem de dinheiro. Ele rejeitou todos os recursos apresentados pela defesa do ex - presidente ao Tribunal Regional Federal da 4a Região ( TRF - 4 ), em Porto Alegre, segunda instância das ações da Operação Lava Jato, nesta quarta - feira ( 24 ). O voto de Gebran, que é o relator do processo [SEP]",1,1
8,8,"[CLS] Jogos que exploram escândalos da política ganham adeptos no Brasil. Casos de corrupção e momento conturbado inspiram games que ironizam políticos, impeachment e até membros do STF.. Na vida real, aprende - se desde cedo que dinheiro não cai do céu. Mas, na realidade virtual, o dinheiro pode cair do alto de um prédio enquanto você tenta recolher todas as notas para encher sua mala com milhões de reais. Só tem uma questão : se não pegar a grana toda, você acaba em cana. Para seu alívio, neste caso, o xadrez também é virtual. O jogo "" Rec [SEP]",1,1
9,9,"[CLS] Após vídeo nas redes sociais, vice - líder do governo defende Cristiane Brasil : Ela é gente como nós. Deputada apareceu em uma gravação num barco, acompanhada de homens sem camisa e se defendendo de acusações trabalhistas. Darcísio Perondi disse que vídeo não muda a disposição de nomeá - la.. O deputado Darcísio Perondi ( PMDB - RS ) um dos vice - líderes do governo na Câmara disse, nesta terça - feira ( 30 ), que a divulgação do vídeo da deputada Cristiane Brasil ( PTB - RJ ) não muda a disposição do governo em nomeá - la para [SEP]",1,1
14,14,"[CLS] Aliados reavaliam acordos com o PT no Nordeste. Após TRF - 4 confirmar condenação de Lula, líderes políticos da região cogitam recuar em acertos prévios com os petistas caso a legenda tenha outro candidato ao Planalto. BRASÍLIA - Após o Tribunal Regional Federal da 4. a Região ( TRF - 4 ) confirmar a condenação do ex - presidente Luiz Inácio Lula da Silva, aliados do petista no Nordeste ameaçam rever acordos locais com o partido. A decisão em segunda instância no caso do triplex do Guarujá tende a tornar o petista inelegível e sua eventual [SEP]",1,1
16,16,"[CLS] Alunos denunciam racismo e homofobia em faculdade do ABC Paulista. Porta do banheiro feminino foi marcado com as frases fora preta sapatão, odeio preto e fim das cotas. Instituição informou que apura o caso.. Alunos da Faculdade de Direito de São Bernardo do Campo, no ABC Paulista, denunciaram nas redes sociais, um caso de racismo e homofobia ocorrido na noite desta quarta - feira ( 21 ). Um banheiro feminino foi pichado com uma frase racista e contra lésbicas. A inscrição foi fotografada e levada à direção da instituição, que abriu sindicância [SEP]",1,1
18,18,"[CLS] Candidato Amazonino Mendes participa de entrevista na Rádio CBN Amazônia. Candidato do governo do Amazonas respondeu perguntas de jornalistas e ouvintes.. O candidato ao governo do Amazonas Amazonino Mendes ( PDT ) participou de entrevista na Rádio CBN Amazônia, na manhã desta sexta - feira ( 20 ). Ele falou sobre propostas de seu plano de governo para a eleição suplementar. Durante 20 minutos, o candidato da coligação “ Movimento pela reconstrução do Amazonas ” respondeu perguntas de jornalistas e ouvintes sobre corrupção, gastos públicos, investimentos em segurança e desaceleração da Zona Franca de Manaus. Confira abaixo : CBN : Por que [SEP]",1,1
