,Unnamed: 0,News,Original Label,Prediction
6,6,"[CLS] @ ElmindoP % PATRIOTA! * VAMOS ACORDAR BRASIL!!!! E VOCE AINDA ACREDITANDO NESTA FARSA DE COVID19, É UM GOLPE QUE FOI ARQUITETADO PARA ENGANAR OS BRASILEIROS, MENOS ESCLARECIDOS... * # NAOFIQUEEMCASA # VAMOSTRABALHAR # BOLSONAROESTA [SEP]",1,1
7,7,"[CLS] Gente, isso é EXTREMAMENTE GRAVE!!! Mandetta além de picareta é um grande mentiroso! Ele Não mudou NADA em relação a hidroxicloroquina! Mentiu na cara dura!!! Pra pedir dinheiro sem licitação pede com urgência agora para aprovar a hidroxicloroquina deixa pessoas continuarem morrendo!!!! # ForaMandetta! [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]",1,1
11,11,"[CLS] Prezados amigos.. vocês sabiam que, todos os problemas da humanidade foram curados com esse pânico fake do covid19?????? Vejam?? Sempre morreram milhares de pessoas de H1N1, POIS, NUNCA FOI ERRADICADA ESTA GRIPE, DE AIDS que NUNCA FOI ERRADICADA, DE TUBERCULOSE, DE INFARTO, DE BRIGAS DOMÉSTICAS, DE IDADE, DE INSUFICI [SEP]",1,1
12,12,"[CLS] Quando o filho de Bolsonaro culpou a China por causa do coronavirus ouve repercussão no mudo todo, agora o prefeito de Lisboa em Portugal fala a mesma coisa e explica com detalhe como a China espalhou o vírus para o mundo. [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]",1,1
13,13,[CLS] URGENTE : Infectologista admite que 40 % dos óbitos registrados são falsamente atribuídos a covid - 19. Aos poucos o povo brasileiro vai descobrindo que foi enganado.... https : / / portalnovonorte. com. br /? p = 26631 & amp = 1 [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],1,1
15,15,[CLS] Um dos maiores jornais da frança já noticiou. Três renomados médicos franceses comprovaram a eficácia do medicamento e denunciam que há um boicote político - ideológico da esquerda contra a hidroxicloroquina que pode custar a vida de milhares de pessoas. # BolsonaroTemRazãohttps : / / portalnovonorte. com. br /? p = 24267 [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],1,1
16,16,"[CLS] Paciente sendo tratado com a Hidroxicloroquina e Azitromicina, não precisou ser entubado. # ForaMandettaJa # HidroxicloroquinaPrecoceJa # ACORDABRASIL # VERGONHAGERAL # ImprensaLixo # midiapodre # imprensasordida [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]",1,1
20,20,"[CLS] ` ` ` * ALERTA AOS BRASILEIROS! * Atentem todos, principalmente os que estão decepcionados com o governo Bolsonaro. Uma colega de turma, oftalmo na Argentina, que pouco se manifestava nas brigas envolvendo a esquerda e a direita, hoje, postou essa mensagem no grupo de que fazemos parte. Por favor, leiam com atenção! É importante pra todos! "" Oi, meus amigos, hoje, acordei com a intenção de contar pra vocês um pouco da situação que nós, argentinos, estamos vivenciando no nosso país, e trag [SEP]",1,1
21,21,"[CLS] OS PAULISTAS DEVEM FAZER MANIFESTAÇÕES CONTRA ESSA NEGOCIAÇÃO DO DÓRIA COM A CHINA TRAZENDO VACINA ENVENENADA PARA MATAR OS PAULISTAS QUE AINDA ESTÃO VIVOS. GRITA SÃO PAULO, "" NÃO QUEREMOS ESTA VACINA VINDA DA CHINA "" VÃO ÀS RUAS EN [SEP]",1,1
22,22,[CLS] * ESTÃO VENDO QUE TUDO ISSO DE VIRUS CHINÊS É UMA FRAUDE PARA ESSES DEMONIOS NOS ESCRAVIZAREM???? * * PARA AS RUAS JÁ!!!!! * * IMPEACHMENT E ABAIXO A DITADURA DOS PROTO DITADORES COMUNO - GLOBALISTAS DOS DESGOVERNADORES E DESPREF [SEP],1,1
